,,neutral,happiness,surprise,sadness,anger,disgust,fear,contempt,unknown,NF
fer0032220.png,"(0, 0, 48, 48)",10,0,0,0,0,0,0,0,0,0
fer0032222.png,"(0, 0, 48, 48)",5,2,3,0,0,0,0,0,0,0
fer0032223.png,"(0, 0, 48, 48)",4,0,0,5,0,0,1,0,0,0
fer0032224.png,"(0, 0, 48, 48)",4,6,0,0,0,0,0,0,0,0
fer0032225.png,"(0, 0, 48, 48)",3,0,0,1,3,2,0,2,0,0
fer0032226.png,"(0, 0, 48, 48)",0,5,5,0,0,0,0,0,0,0
fer0032227.png,"(0, 0, 48, 48)",6,0,0,1,0,0,0,1,2,0
fer0032228.png,"(0, 0, 48, 48)",5,0,0,4,0,0,0,1,0,0
fer0032229.png,"(0, 0, 48, 48)",2,2,4,2,0,0,0,0,0,0
fer0032230.png,"(0, 0, 48, 48)",1,0,4,1,0,0,4,0,0,0
fer0032231.png,"(0, 0, 48, 48)",2,0,4,2,0,0,2,0,0,0
fer0032232.png,"(0, 0, 48, 48)",0,4,1,2,0,0,0,3,0,0
fer0032233.png,"(0, 0, 48, 48)",0,10,0,0,0,0,0,0,0,0
fer0032234.png,"(0, 0, 48, 48)",2,5,2,1,0,0,0,0,0,0
fer0032235.png,"(0, 0, 48, 48)",5,1,0,4,0,0,0,0,0,0
fer0032236.png,"(0, 0, 48, 48)",0,0,0,0,2,4,2,2,0,0
fer0032237.png,"(0, 0, 48, 48)",5,3,0,0,0,0,0,0,2,0
fer0032238.png,"(0, 0, 48, 48)",0,6,3,0,0,0,1,0,0,0
fer0032239.png,"(0, 0, 48, 48)",2,0,4,1,0,0,3,0,0,0
fer0032240.png,"(0, 0, 48, 48)",3,0,0,5,0,0,2,0,0,0
fer0032241.png,"(0, 0, 48, 48)",4,0,0,2,0,3,1,0,0,0
fer0032242.png,"(0, 0, 48, 48)",0,0,4,2,0,0,4,0,0,0
fer0032243.png,"(0, 0, 48, 48)",3,2,2,2,0,1,0,0,0,0
